TIC_ID,sector,available,cadence,author
264592553,6,True,120.0,SPOC
455509774,12,True,120.0,SPOC
53085065,19,True,120.0,SPOC
332064670,21,True,120.0,SPOC
309146836,1,True,120.0,SPOC
458199516,10,True,120.0,SPOC
457427613,10,True,120.0,SPOC
323968843,12,True,120.0,SPOC
11046410,5,True,120.0,SPOC
81609273,8,True,120.0,SPOC
271701447,10,True,120.0,SPOC
140288359,5,True,120.0,SPOC
11491822,20,True,120.0,SPOC
409319605,7,True,120.0,SPOC
260131665,12,True,120.0,SPOC
420116962,16,True,120.0,SPOC
279640088,6,True,120.0,SPOC
207511576,12,True,120.0,SPOC
393819751,22,True,120.0,SPOC
436103335,6,True,120.0,SPOC
379783522,11,True,120.0,SPOC
424719589,14,True,120.0,SPOC
440676745,17,True,120.0,SPOC
1883519478,23,True,120.0,SPOC
181862539,10,True,120.0,SPOC
426588729,5,True,120.0,SPOC
469924870,16,True,120.0,SPOC
258314976,10,True,120.0,SPOC
397361078,10,True,120.0,SPOC
470358759,19,True,120.0,SPOC
341029467,12,True,120.0,SPOC
50897998,6,True,120.0,SPOC
365198355,23,True,120.0,SPOC
139825840,1,True,120.0,SPOC
62702862,19,True,120.0,SPOC
229804573,1,True,120.0,SPOC
70442570,1,True,120.0,SPOC
435715608,14,True,120.0,SPOC
149861542,5,True,120.0,SPOC
453012065,17,True,120.0,SPOC
93997745,8,True,120.0,SPOC
275259749,18,True,120.0,SPOC
322650462,6,True,120.0,SPOC
103566595,19,True,120.0,SPOC
282270717,6,True,120.0,SPOC
169815759,14,True,120.0,SPOC
236973844,15,True,120.0,SPOC
168384614,9,True,120.0,SPOC
129538133,16,True,120.0,SPOC
172171873,20,True,120.0,SPOC
396903513,13,True,120.0,SPOC
409455615,16,True,120.0,SPOC
11799874,20,True,120.0,SPOC
126586580,7,True,120.0,SPOC
323292655,12,True,120.0,SPOC
11799872,20,True,120.0,SPOC
306410072,10,True,120.0,SPOC
148158540,11,True,120.0,SPOC
661540044,19,True,120.0,SPOC
181463644,8,True,120.0,SPOC
60658382,8,True,120.0,SPOC
63315565,15,True,120.0,SPOC
56332484,8,True,120.0,SPOC
66563761,6,True,120.0,SPOC
394508465,12,True,120.0,SPOC
22937402,7,True,120.0,SPOC
120258315,14,True,120.0,SPOC
123042728,14,True,120.0,SPOC
91638523,3,True,120.0,SPOC
123153249,7,True,120.0,SPOC
30562668,8,True,120.0,SPOC
301956407,12,True,120.0,SPOC
455463415,12,True,120.0,SPOC
394728064,12,True,120.0,SPOC
59091000,5,True,120.0,SPOC
150284425,7,True,120.0,SPOC
214299836,1,True,120.0,SPOC
243475355,11,True,120.0,SPOC
302771290,18,True,120.0,SPOC
59739922,19,True,120.0,SPOC
169168102,7,True,120.0,SPOC
50758245,7,True,120.0,SPOC
147026702,9,True,120.0,SPOC
140066660,8,True,120.0,SPOC
32268776,3,True,120.0,SPOC
340110295,13,True,120.0,SPOC
53292822,8,True,120.0,SPOC
177631209,12,True,120.0,SPOC
441422527,1,True,120.0,SPOC
270622446,2,True,120.0,SPOC
146039664,8,True,120.0,SPOC
410418820,12,True,120.0,SPOC
2236015,19,True,120.0,SPOC
449650980,11,True,120.0,SPOC
37435039,8,True,120.0,SPOC
259901124,1,True,120.0,SPOC
370960295,9,True,120.0,SPOC
38125059,8,True,120.0,SPOC
391051349,10,True,120.0,SPOC
457173024,5,True,120.0,SPOC
268944966,17,True,120.0,SPOC
353129911,19,True,120.0,SPOC
121945407,14,True,120.0,SPOC
365089053,23,True,120.0,SPOC
150442264,12,True,120.0,SPOC
428102518,16,True,120.0,SPOC
44222598,16,True,120.0,SPOC
290476605,8,True,120.0,SPOC
339566276,12,True,120.0,SPOC
357358259,23,True,120.0,SPOC
188512866,21,True,120.0,SPOC
296449358,9,True,120.0,SPOC
282925798,15,True,120.0,SPOC
24733359,8,True,120.0,SPOC
135443051,26,True,120.0,SPOC
348517784,18,True,120.0,SPOC
388843945,22,True,120.0,SPOC
159636127,15,True,120.0,SPOC
49418981,9,True,120.0,SPOC
418295363,12,True,120.0,SPOC
18028547,22,True,120.0,SPOC
266394699,19,True,120.0,SPOC
173710176,16,True,120.0,SPOC
664915372,19,True,120.0,SPOC
341258182,12,True,120.0,SPOC
231048083,2,True,120.0,SPOC
172529744,21,True,120.0,SPOC
275658545,14,True,120.0,SPOC
190390679,8,True,120.0,SPOC
26432264,18,True,120.0,SPOC
294327312,4,True,120.0,SPOC
270371961,4,True,120.0,SPOC
141148940,22,True,120.0,SPOC
125958765,12,True,120.0,SPOC
55404385,12,True,120.0,SPOC
84342725,19,True,120.0,SPOC
