TIC_ID,sector,available
161687209,76.0,True
97735297,71.0,True
89643259,54.0,True
305512837,,False
464296022,36.0,True
459850897,37.0,True
431148743,,False
176984236,12.0,True
393251073,47.0,True
179155220,33.0,True
335996558,,False
187861378,,False
467006627,,False
73723286,9.0,True
270841724,35.0,True
232967666,21.0,True
284450803,40.0,True
233497719,24.0,True
243283955,,False
107728509,39.0,True
377024332,,False
443042089,63.0,True
192372961,58.0,True
318746829,,False
56231866,83.0,True
118301361,,False
154867950,21.0,True
70887357,5.0,True
64531556,41.0,True
61980227,28.0,True
59859387,33.0,True
121966220,19.0,True
34466256,,False
288185138,40.0,True
264460005,,False
357416482,24.0,True
68152139,,False
394509844,38.0,True
220435095,13.0,True
295599256,100.0,True
238597883,34.0,True
155947004,50.0,True
294179389,55.0,True
69997672,40.0,True
128463355,34.0,True
199162630,76.0,True
27244707,59.0,True
449050247,32.0,True
41875043,,False
143994283,34.0,True
156678143,,False
403136413,28.0,True
304042899,10.0,True
341297143,81.0,True
461538935,52.0,True
172871230,74.0,True
190430205,,False
361034196,,False
271581073,27.0,True
141663460,,False
142090065,19.0,True
308034948,10.0,True
260849386,88.0,True
294869729,27.0,True
272049972,,False
23389848,40.0,True
300871545,12.0,True
230075120,47.0,True
292321872,18.0,True
417705690,19.0,True
67926921,47.0,True
49617263,,False
388076005,18.0,True
1717732429,40.0,True
79395355,,False
30329585,40.0,True
175476629,,False
149601557,27.0,True
339733013,12.0,True
229091748,29.0,True
197959526,28.0,True
462162963,90.0,True
1979500576,55.0,True
389371332,7.0,True
346418409,16.0,True
311121985,19.0,True
444523623,,False
49710555,29.0,True
345724317,,False
410528770,,False
384744828,39.0,True
316916655,5.0,True
29374525,71.0,True
377290815,40.0,True
152685831,,False
140706664,35.0,True
298495970,53.0,True
27844066,54.0,True
158497525,49.0,True
258829450,40.0,True
419878733,,False
1990842033,67.0,True
193220940,62.0,True
261108236,12.0,True
153971295,74.0,True
436637677,44.0,True
221785300,66.0,True
192003741,62.0,True
9166136,96.0,True
160521907,56.0,True
